"name","ARI","AMI","NMI","Mean_Silhouette","Clusters","number_features","number_instances","cardinality_pred","cardinality_real","Violations","Execution_Time"
"balance-scale",0.0109218818012701,0.0432207254247168,0.0466477164330803,0.207929322139721,3,5,625,"288, 49, 288","288, 49, 288",0,0.0721838474273682
"mfeat-morphological",0.31736549692909,0.477902268093226,0.482542233102085,0.44027516171568,10,7,2000,"200, 200, 200, 200, 200, 200, 200, 200, 200, 200","200, 200, 200, 200, 200, 200, 200, 200, 200, 200",0,6.25778412818909
"diabetes",0.0300495528933624,0.00952757648982251,0.0105270671389422,0.672195287093099,2,9,768,"500, 268","500, 268",0,0.064838171005249
"ecoli",0.470156598445733,0.453654235687842,0.476238423279314,0.168266093629734,8,8,336,"143, 77, 52, 35, 20, 5, 2, 2","143, 77, 52, 35, 20, 5, 2, 2",0,0.119855165481567
"heart-statlog",0.0716085176085177,0.0489697434485911,0.0515482769798407,0.5130951767771,2,14,270,"150, 120","150, 120",0,0.0238430500030518
"iris",0.885665306122449,0.860546511692628,0.86227017189976,0.72455599985903,3,5,150,"50, 50, 50","50, 50, 50",0,0.0113730430603027
"yeast",0.108228084011491,0.154908122498209,0.168222970831258,-0.105355442033909,10,9,1484,"463, 429, 244, 163, 51, 44, 35, 30, 20, 5","463, 429, 244, 163, 51, 44, 35, 30, 20, 5",0,2.12975406646729
"wine",0.362492011561992,0.357073250135606,0.363834119935433,0.489716693856959,3,14,178,"59, 71, 48","59, 71, 48",0,0.0104460716247559
"prnn_synth",-0.00242580645161295,-0.00175345791471103,0.00115446400479693,0.787364370607605,2,3,250,"125, 125","125, 125",0,0.0121378898620605
"rmftsa_ladata",0.34733951938253,0.262179896094552,0.263243033835661,0.443828702829554,2,11,508,"286, 222","286, 222",0,0.0429680347442627
"pwLinear",0.00139007940934302,0.00110591015080753,0.00473835175199925,0.126756885297173,2,11,200,"103, 97","103, 97",0,0.00857901573181152
"fri_c2_100_5",0.150735294117647,0.0986631011188385,0.105474077871823,0.389248073890936,2,6,100,"40, 60","40, 60",0,0.00304985046386719
"analcatdata_supreme",-0.0772900882982386,0.129082261407707,0.129277584678856,0.0829364917825095,2,8,4052,"971, 3081","971, 3081",0,4.2901918888092
"fri_c1_250_5",0.150262596371164,0.110540650188608,0.113126998739447,0.385155942452655,2,6,250,"119, 131","119, 131",0,0.00856518745422363
"machine_cpu",0.156363628886143,0.0652523370757074,0.0691533107103686,0.306685750354899,2,7,209,"153, 56","153, 56",0,0.0113048553466797
"visualizing_environmental",0.00928746050087068,0.00632908955341325,0.0128853800221191,0.330102561183834,2,4,111,"58, 53","58, 53",0,0.00330710411071777
"space_ga",0.000909124487756086,0.000659286811254063,0.000891423085537048,0.0341877261514797,2,7,3107,"1541, 1566","1541, 1566",0,2.44001603126526
"fri_c3_1000_10",0.0404840208685033,0.0355897714587552,0.0362938679404497,0.292439875154675,2,11,1000,"440, 560","440, 560",0,0.119199991226196
"fri_c1_1000_5",0.214478311382229,0.15827913643582,0.158890507658358,0.386193406938229,2,6,1000,"457, 543","457, 543",0,0.25767707824707
"fri_c3_250_5",0.0298259168699795,0.0183489819045458,0.0212335123055194,0.558353725860948,2,6,250,"109, 141","109, 141",0,0.0142951011657715
"fri_c3_500_5",0.0211458055029895,0.0148222341569872,0.0162506338072823,0.577869492749744,2,6,500,"237, 263","237, 263",0,0.0448582172393799
"pm10",-0.000981012646320019,-0.000720830525464222,0.000727509848812422,0.325142280148647,2,8,500,"254, 246","254, 246",0,0.0423910617828369
"fri_c0_100_5",0.0690785993864382,0.0485605727706846,0.0555628542103765,0.184932144478518,2,6,100,"46, 54","46, 54",0,0.00361990928649902
"fri_c2_100_10",0.151515151515152,0.123235832622929,0.12970645851264,0.20041986743562,2,11,100,"45, 55","45, 55",0,0.00300693511962891
"strikes",0.173064709423375,0.128704390304885,0.129712464359394,0.3623294025041,2,7,625,"315, 310","315, 310",0,0.0555088520050049
"quake",0.00319144525013533,0.00148399404945018,0.00181786623178031,0.643348651350643,2,4,2178,"1209, 969","1209, 969",0,0.798259973526001
"disclosure_x_bias",0.00515095721718324,0.00395478924969305,0.00504401322849761,0.532012886857873,2,4,662,"345, 317","345, 317",0,0.0614528656005859
"bodyfat",0.141706890492737,0.105042838691872,0.10762047598882,0.436829856472702,2,15,252,"124, 128","124, 128",0,0.0133829116821289
"rabe_266",0.533877428614271,0.429264000552748,0.432744941741461,0.739429812067092,2,3,120,"57, 63","57, 63",0,0.00365304946899414
"fri_c1_100_10",0.00440283679236302,0.00384944012321079,0.0111650300527055,0.160755578233374,2,11,100,"47, 53","47, 53",0,0.0034949779510498
"fri_c2_500_5",0.144703712685024,0.095825029193097,0.0971698175458154,0.467272688070873,2,6,500,"202, 298","202, 298",0,0.0282599925994873
"fri_c3_250_10",0.050018580453363,0.0348132588614291,0.0376283345033268,0.336827590483354,2,11,250,"115, 135","115, 135",0,0.0090491771697998
"disclosure_x_tampered",-0.000408649261987579,-0.000288401090932006,0.000804153053253291,0.529499851697888,2,4,662,"327, 335","327, 335",0,0.0709688663482666
"fri_c0_1000_5",0.165628852698775,0.123059238629993,0.123692783352365,0.249577027533795,2,6,1000,"503, 497","503, 497",0,0.108911991119385
"chscase_funds",0.0227932553955791,0.0175777951748923,0.0214499780585054,0.535803110383645,2,3,185,"87, 98","87, 98",0,0.00837802886962891
"fri_c3_1000_5",0.0283971707308652,0.0261845270189907,0.0268962635129921,0.529756737501835,2,6,1000,"437, 563","437, 563",0,0.125151872634888
"chscase_vine2",-0.00101516450135109,-0.000187355869631811,0.00136929353120445,0.777834565785164,2,3,468,"256, 212","256, 212",0,0.029879093170166
"chatfield_4",0.526743469628973,0.410506535871458,0.412388615224027,0.652217532837434,2,13,235,"142, 93","142, 93",0,0.0121510028839111
"fri_c1_500_10",0.0720797452456208,0.0501825347425453,0.0515662787305787,0.176966211601795,2,11,500,"226, 274","226, 274",0,0.0395441055297852
"disclosure_x_noise",-0.000408961237929247,-0.000297339633886149,0.00079513604035567,0.523465192247203,2,4,662,"329, 333","329, 333",0,0.0737221240997314
"fri_c2_250_10",0.0380781290737248,0.0772838556145812,0.0801192918155775,0.170618604789343,2,11,250,"91, 159","91, 159",0,0.00931692123413086
"stock",0.100109727760205,0.0732517801870643,0.0739569633924043,0.739533506330709,2,10,950,"488, 462","488, 462",0,0.10102391242981
"fri_c0_1000_10",0.00900855524262359,0.00656143717921561,0.00727929776101918,0.124496253656735,2,11,1000,"491, 509","491, 509",0,0.173113822937012
"fri_c4_500_10",-0.00201807091559582,-0.0011971678305543,0.000263149085974998,0.297627400459278,2,11,500,"224, 276","224, 276",0,0.0324740409851074
"vinnie",0.452407317786475,0.35922320885634,0.360445030214233,0.716863652525924,2,3,380,"185, 195","185, 195",0,0.0193231105804443
"fri_c4_250_10",0.0104417578751061,0.00838423606962956,0.0112714559458747,0.267957760034351,2,11,250,"117, 133","117, 133",0,0.0144600868225098
"fri_c2_500_10",0.116257666763872,0.0794018236302121,0.0807545038862512,0.244403743339542,2,11,500,"214, 286","214, 286",0,0.0417189598083496
"fri_c1_500_5",0.178126582917839,0.138105631785774,0.139357050707105,0.406469423705681,2,6,500,"233, 267","233, 267",0,0.0292489528656006
"pollen",-0.000221100039146848,-0.000159509109159025,2.80607785026802e-05,0.517561277430386,2,6,3848,"1924, 1924","1924, 1924",0,2.89160585403442
"mu284",0.0300978782494186,0.021822486461239,0.0243202131066915,0.480964182342251,2,11,284,"142, 142","142, 142",0,0.0167779922485352
"fri_c0_500_5",0.145744118929405,0.107852564693646,0.109143558552938,0.239078908993635,2,6,500,"249, 251","249, 251",0,0.0322589874267578
"transplant",0.394329691309932,0.283718423937144,0.287938748299757,0.17690182412227,2,4,131,"83, 48","83, 48",0,0.00555682182312012
"chscase_geyser1",0.00777489888581344,0.0178585911027814,0.0211779268787861,0.76019273339299,2,3,222,"88, 134","88, 134",0,0.00806808471679688
"chscase_census6",-0.00330387778363197,-0.00111650346226527,0.000737454818325623,0.277206702479446,2,7,400,"235, 165","235, 165",0,0.0271120071411133
"chscase_census5",-0.00090389089956728,-0.000724723015105348,0.00108837722967949,0.379505013727473,2,8,400,"207, 193","207, 193",0,0.0290241241455078
"chscase_census4",0.00110018687468385,0.000716963023378769,0.0025270165803966,0.39763352401368,2,8,400,"206, 194","206, 194",0,0.0284268856048584
"chscase_census3",-0.0021060789376187,-0.00147688973571182,0.000338064037328452,0.416975860279617,2,8,400,"208, 192","208, 192",0,0.029278039932251
"chscase_census2",-5.2016275492996e-06,1.1093783779086e-05,0.00182154579707795,0.400394074097884,2,8,400,"197, 203","197, 203",0,0.0282540321350098
"fri_c1_1000_10",-0.000661722848236684,0.000501258562563049,0.00123204079341277,0.135976081282288,2,11,1000,"436, 564","436, 564",0,0.184248924255371
"fri_c2_250_5",0.301835525364937,0.225306983423212,0.227579994785453,0.462349965622733,2,6,250,"110, 140","110, 140",0,0.00905108451843262
"fri_c2_1000_5",0.188682776211714,0.181264421452751,0.181868328870258,0.443376590823954,2,6,1000,"416, 584","416, 584",0,0.109543085098267
"fri_c2_1000_10",0.0100744113791372,0.013212064574493,0.0139384882135669,0.132875005720714,2,11,1000,"420, 580","420, 580",0,0.171523094177246
"fri_c3_100_5",0.0044247787610619,0.00628016932327896,0.0136390030273484,0.491697221162496,2,6,100,"44, 56","44, 56",0,0.00256109237670898
"visualizing_galaxy",0.278030649889057,0.208662602961561,0.21044728898041,0.532090982465268,2,5,323,"175, 148","175, 148",0,0.0249509811401367
"disclosure_z",0.00112765821455637,0.000631572787222264,0.00172509474152494,0.565278310529664,2,4,662,"348, 314","348, 314",0,0.0642368793487549
"fri_c3_500_10",0.00027149230474091,-0.000261829762660169,0.00119381589042522,0.315582923629867,2,11,500,"228, 272","228, 272",0,0.0307178497314453
"fri_c0_500_10",-0.00194037832948716,-0.00138787128892711,6.25579936183362e-05,0.124584853142679,2,11,500,"241, 259","241, 259",0,0.0358419418334961
"prnn_fglass",0.0631648138507268,0.0281113281766602,0.0316330376606918,0.0448004520982193,2,10,214,"76, 138","76, 138",0,0.0100088119506836
"jEdit_4.2_4.3",0.0178979752369991,0.0111085647550435,0.0130656619785572,0.571426356154031,2,9,369,"204, 165","204, 165",0,0.0253400802612305
"jEdit_4.0_4.2",0.00536411873362128,0.00380932557493956,0.00644733469254376,0.521605302082037,2,9,274,"134, 140","134, 140",0,0.0192899703979492
"datatrieve",0.0874931605819778,-0.000205080896712675,0.015484628541475,0.875751005940933,2,9,130,"119, 11","119, 11",0,0.00414299964904785
"banknote-authentication",0.0373258087420834,0.0245618672659513,0.0250798878564384,0.648077121986365,2,5,1372,"762, 610","762, 610",0,0.242948055267334
"blood-transfusion-service-center",-0.0700258517486999,0.0583808867237626,0.0595332269503585,0.720959418224981,2,5,748,"570, 178","570, 178",0,0.07700514793396
"breast-tissue",0.0698834999586879,0.119590545189127,0.18553768952985,0.121760513729457,6,10,106,"22, 21, 14, 15, 16, 18","22, 21, 14, 15, 16, 18",0,0.00796103477478027
"fertility",0.275327426810478,0.097427415882693,0.111965467898363,0.146385203895806,2,10,100,"88, 12","88, 12",0,0.00310301780700684
"planning-relax",-0.0106453427120713,-0.00422953488027374,0.000448298757342391,0.16890010346419,2,13,182,"130, 52","130, 52",0,0.00558304786682129
"seeds",0.596959479443951,0.531360463298711,0.535475970298594,0.483934702139859,3,8,210,"70, 70, 70","70, 70, 70",0,0.0137190818786621
"user-knowledge",0.0547095049622329,0.0693615012459902,0.0831810407781635,0.145727958735009,5,6,403,"102, 129, 122, 24, 26","102, 129, 122, 24, 26",0,0.0651209354400635
"heart-long-beach",0.00250653740150993,0.0194361823937656,0.0473917039687814,0.202191183814477,5,14,200,"51, 56, 41, 42, 10","51, 56, 41, 42, 10",0,0.0216841697692871
"heart-switzerland",-0.00866149358763667,-0.0259686421817088,0.0272923885289196,0.156299221289774,5,13,123,"8, 48, 32, 30, 5","8, 48, 32, 30, 5",0,0.0075690746307373
"vertebra-column",0.60343992735401,0.491323037323963,0.494535228314655,0.399033094336846,3,7,310,"60, 100, 150","60, 100, 150",0,0.0261139869689941
"volcanoes-a1",-0.0055131523461278,0.00755708286579589,0.0140153593225976,0.244349345362231,5,4,3252,"2952, 68, 58, 86, 88","2952, 68, 58, 86, 88",0,7.23398900032043
"volcanoes-a2",-0.0737707407994583,0.00530447583771772,0.0179373115355635,-0.100580256098145,5,4,1623,"1471, 35, 29, 44, 44","1471, 35, 29, 44, 44",0,1.36292004585266
"volcanoes-a3",-0.0669005171375402,0.00546304143994723,0.0183714433233684,0.25221274005054,5,4,1521,"1369, 35, 29, 44, 44","1369, 35, 29, 44, 44",0,0.927821159362793
"volcanoes-a4",-0.00584950556401036,0.000483032576505239,0.0135625496946016,0.220305890002903,5,4,1515,"1365, 33, 29, 45, 43","1365, 33, 29, 45, 43",0,0.923091173171997
"volcanoes-e1",-0.0443880385091116,-0.00393201537691406,0.0115216923325531,-0.0570573909495711,5,4,1183,"1083, 9, 21, 49, 21","1083, 9, 21, 49, 21",0,0.828634977340698
"volcanoes-e2",-0.0773804573624922,0.000920107279216567,0.0167650353597638,0.341252072416468,5,4,1080,"984, 8, 19, 51, 18","984, 8, 19, 51, 18",0,0.547499895095825
"volcanoes-e3",-0.0548505667196275,0.00397002313144088,0.0183575383177704,0.294062263949407,5,4,1277,"1170, 9, 21, 53, 24","1170, 9, 21, 53, 24",0,0.838737010955811
"volcanoes-e4",-0.0575975468715141,0.00357830072223871,0.0181017313903954,-0.139610557733106,5,4,1252,"1144, 9, 22, 53, 24","1144, 9, 22, 53, 24",0,0.721893072128296
"volcanoes-e5",-0.0424191685252223,-0.00213929564905918,0.013544188488821,-0.0468655439733139,5,4,1112,"1010, 9, 21, 52, 20","1010, 9, 21, 52, 20",0,0.740442037582397
"Engine1",0.0727424261101959,0.230952234225056,0.236484501560369,0.100639717419642,3,6,383,"257, 125, 1","257, 125, 1",0,0.0415370464324951
