"name","ARI","AMI","NMI","Mean_Silhouette","Clusters","number_features","number_instances","cardinality_pred","cardinality_real","Violations","Execution_Time"
"balance-scale",-0.00498036845959379,0.00534343278301335,0.00890609263867907,-0.00847686485647481,3,5,625,"288, 49, 288","288, 49, 288",0,0.0210011005401611
"mfeat-morphological",0.0895620910106086,0.179732739215441,0.187022583923351,-0.303781589270806,10,7,2000,"200, 200, 200, 200, 200, 200, 200, 200, 200, 200","200, 200, 200, 200, 200, 200, 200, 200, 200, 200",0,0.00354504585266113
"diabetes",-0.00946593257176682,0.00603749736838818,0.00704050987370873,0.0484726659921898,2,9,768,"500, 268","500, 268",0,0.00125813484191895
"ecoli",-0.0151651769190786,0.0122049060818221,0.0530371979383715,-0.0565214718104436,8,8,336,"143, 77, 52, 35, 20, 5, 2, 2","143, 77, 52, 35, 20, 5, 2, 2",0,0.000818967819213867
"heart-statlog",-0.00329729729729721,-0.00264570529969179,7.2773479788474e-05,0.183381897557639,2,14,270,"150, 120","150, 120",0,0.000581026077270508
"iris",0.0103156462585034,0.00880887256852886,0.0210601021702605,-0.0745254895841294,3,5,150,"50, 50, 50","50, 50, 50",0,0.000403165817260742
"yeast",0.0140835378378622,0.0126876534376919,0.0282432569191559,-0.0944229171494739,10,9,1484,"463, 429, 244, 163, 51, 44, 35, 30, 20, 5","463, 429, 244, 163, 51, 44, 35, 30, 20, 5",0,0.0064091682434082
"wine",0.0577819182898867,0.0620274410424719,0.0718909446970631,0.0667737361754606,3,14,178,"59, 71, 48","59, 71, 48",0,0.000581026077270508
"prnn_synth",0.0577197419354838,0.0420513441973158,0.0448321081387455,0.122826462373991,2,3,250,"125, 125","125, 125",0,0.00113606452941895
"rmftsa_ladata",0.0783593955636966,0.0530220716291127,0.0543865884948355,0.134127514449993,2,11,508,"286, 222","286, 222",0,0.000905036926269531
"pwLinear",0.00139007940934302,0.000895539836497571,0.00452874644159623,0.0302468907033951,2,11,200,"103, 97","103, 97",0,0.000580072402954102
"fri_c2_100_5",0.0294117647058823,0.0131132227183957,0.0205706594506951,-0.000559249892022088,2,6,100,"40, 60","40, 60",0,0.000333070755004883
"analcatdata_supreme",-0.0442861110234484,0.0149337901667077,0.0151547138497118,0.0235297269160068,2,8,4052,"971, 3081","971, 3081",0,0.00646495819091797
"fri_c1_250_5",0.00118585889242056,0.000622231051561556,0.00352819774358502,0.0155518604898644,2,6,250,"119, 131","119, 131",0,0.0005950927734375
"machine_cpu",0.00590005139358297,-0.00368596332891475,0.000502709866776018,0.628979010961129,2,7,209,"153, 56","153, 56",0,0.00064396858215332
"visualizing_environmental",0.0047008283735599,0.00375197613395294,0.0103252705261622,0.225553776258833,2,4,111,"58, 53","58, 53",0,0.000344038009643555
"space_ga",0.0480170953836591,0.0349050222342927,0.0351292035865693,0.18008323864529,2,7,3107,"1541, 1566","1541, 1566",0,0.00481104850769043
"fri_c3_1000_10",-0.0011170575769548,-0.00069985056425872,3.07402394911164e-05,0.0427883119155561,2,11,1000,"440, 560","440, 560",0,0.0435609817504883
"fri_c1_1000_5",0.0220860406931204,0.0147112061697443,0.0154268557877017,0.00650717823373098,2,6,1000,"457, 543","457, 543",0,0.00154209136962891
"fri_c3_250_5",-0.00359290422352941,-0.00290322113398727,4.37577589883506e-05,0.0291543361628308,2,6,250,"109, 141","109, 141",0,0.000557899475097656
"fri_c3_500_5",0.0636628607278007,0.0457196199745236,0.0471032218059611,0.0407598574301984,2,6,500,"237, 263","237, 263",0,0.000903129577636719
"pm10",0.00209715306621912,0.00148988224617961,0.00293502306223239,0.275584778306165,2,8,500,"254, 246","254, 246",0,0.00092005729675293
"fri_c0_100_5",0.00443127989938527,0.0021415274149376,0.00948543777018676,0.0420917979700714,2,6,100,"46, 54","46, 54",0,0.000454902648925781
"fri_c2_100_10",-0.0101010101010101,-0.00736029465055342,7.4146497211049e-05,0.0665157518511061,2,11,100,"45, 55","45, 55",0,0.000412940979003906
"strikes",0.0599977751426631,0.0437582825050274,0.0448646377471739,0.194889093915438,2,7,625,"315, 310","315, 310",0,0.0016629695892334
